prefix_ref	prefix_url
"dc"	"http://purl.org/dc/elements/1.1/"
"brapci"	"http://basessibi.c3sl.ufpr.br/brapci/index.php/rdf/"
"rdfs"	"http://www.w3.org/2000/01/rdf-schema"
"skos"	"http://www.w3.org/2004/02/skos/core"
"dcterm"	"http://purl.org/dc/terms/"
"fb"	"http://rdf.freebases.com/ns"
"gn"	"http://www.geonames.org/ontology#"
"geo"	"http://www.w3.org/2003/01/geo/wgs84_pos#"
"lotico"	"http://www.lotico.com/ontology/"
"foaf"	"http://xmlns.com/foaf/spec/"
"viaf"	"http://viaf.org/viaf/"
"wgs84_pos"	"https://www.w3.org/2003/01/geo/"
"owl"	"https://www.w3.org/TR/owl-ref/"
"VOID"	" "
"frbr"	"https://vocab.org/frbr/core"
"thesa"	"https://ufrgs.br/thesa/core"
