prefLabel;hasLanguage
grande;pt
bom;pt
novo;pt
pequeno;pt
próprio;pt
velho;pt
cheio;pt
branco;pt
longo;pt
único;pt
alto;pt
certo;pt
só;pt
possível;pt
claro;pt
capaz;pt
estranho;pt
negro;pt
enorme;pt
escuro;pt
seguinte;pt
mau;pt
diferente;pt
preciso;pt
difícil;pt
antigo;pt
bonito;pt
simples;pt
forte;pt
pobre;pt
sério;pt
belo;pt
feliz;pt
junto;pt
vermelho;pt
humano;pt
inteiro;pt
triste;pt
importante;pt
meio;pt
sentado;pt
fácil;pt
Verdadeiro;pt
frio;pt
vazio;pt
baixo;pt
terrível;pt
próximo;pt
livre;pt
profundo;pt
jovem;pt
preto;pt
impossível;pt
vivo;pt
largo;pt
nu;pt
necessário;pt
azul;pt
natural;pt
quente;pt
completo;pt
verde;pt
pesado;pt
inglês;pt
especial;pt
rápido;pt
igual;pt
comprido;pt
principal;pt
breve;pt
rico;pt
seco;pt
fino;pt
geral;pt
curto;pt
chamado;pt
pálido;pt
leve;pt
anterior;pt
perfeito;pt
grosso;pt
direito;pt
calado;pt
interessante;pt
amarelo;pt
sujo;pt
pronto;pt
imenso;pt
cansado;pt
duro;pt
doente;pt
puro;pt
presente;pt
comum;pt
brilhante;pt
público;pt
magro;pt
grave;pt
cego;pt
deitado;pt
vago;pt
americano;pt
alegre;pt
real;pt
raro;pt
particular;pt
calmo;pt
ansioso;pt
social;pt
nervoso;pt
má;pt
silencioso;pt
lento;pt
semelhante;pt
evidente;pt
doce;pt
curioso;pt
normal;pt
morto;pt
horrível;pt
familiar;pt
lindo;pt
caro;pt
justo;pt
distante;pt
maravilhoso;pt
inútil;pt
dourado;pt
gordo;pt
preocupado;pt
suave;pt
agradável;pt
pessoal;pt
fraco;pt
seguro;pt
satisfeito;pt
infeliz;pt
sombrio;pt
feminino;pt
súbito;pt
estreito;pt
íntimo;pt
sexual;pt
interior;pt
esquerdo;pt
simpático;pt
errado;pt
contente;pt
secreto;pt
fresco;pt
violento;pt
solitário;pt
político;pt
moderno;pt
extraordinário;pt
vulgar;pt
literário;pt
ligeiro;pt
interessado;pt
eterno;pt
habitual;pt
Falso;pt
castanho;pt
parado;pt
inteligente;pt
firme;pt
misterioso;pt
delicado;pt
cinzento;pt
intenso;pt
doméstico;pt
parecido;pt
incapaz;pt
profissional;pt
disposto;pt
absurdo;pt
aberto;pt
furioso;pt
digno;pt
grávido;pt
amigo;pt
quieto;pt
físico;pt
final;pt
famoso;pt
elegante;pt
diverso;pt
redondo;pt
louco;pt
local;pt
imediato;pt
provável;pt
irritado;pt
absoluto;pt
respectivo;pt
macio;pt
santo;pt
prestes;pt
feio;pt
desesperado;pt
colorido;pt
ridículo;pt
precioso;pt
imóvel;pt
engraçado;pt
útil;pt
oposto;pt
militar;pt
determinado;pt
britânico;pt
vasto;pt
religioso;pt
ocupado;pt
inquieto;pt
impaciente;pt
confuso;pt
complicado;pt
estúpido;pt
perigoso;pt
frágil;pt
fechado;pt
espesso;pt
decidido;pt
recente;pt
central;pt
alheio;pt
agudo;pt
surdo;pt
minúsculo;pt
húmido;pt
francês;pt
deserto;pt
barato;pt
sincero;pt
sagrado;pt
moral;pt
luminoso;pt
indiferente;pt
doido;pt
comercial;pt
óbvio;pt
obscuro;pt
magnífico;pt
excelente;pt
inocente;pt
total;pt
selvagem;pt
louro;pt
cor-de-rosa;pt
católico;pt
amável;pt
abafado;pt
prático;pt
pleno;pt
infantil;pt
liso;pt
espantado;pt
vão;pt
perdido;pt
grato;pt
espanhol;pt
divertido;pt
desagradável;pt
delicioso;pt
consciente;pt
assustado;pt
português;pt
mágico;pt
mental;pt
inferior;pt
generoso;pt
encantador;pt
atento;pt
invisível;pt
industrial;pt
exterior;pt
estrangeiro;pt
derradeiro;pt
cruel;pt
rígido;pt
poderoso;pt
modesto;pt
italiano;pt
gelado;pt
farto;pt
trémulo;pt
oculto;pt
nobre;pt
infinito;pt
inesperado;pt
franco;pt
encantado;pt
amoroso;pt
úmido;pt
visível;pt
severo;pt
original;pt
orgulhoso;pt
mortal;pt
esplêndido;pt
coitado;pt
subtil;pt
constante;pt
surpreendente;pt
solene;pt
médio;pt
mudo;pt
futuro;pt
eléctrico;pt
distinto;pt
demasiado;pt
culpado;pt
confortável;pt
banal;pt
regular;pt
razoável;pt
molhado;pt
esquisito;pt
amplo;pt
universitário;pt
moreno;pt
masculino;pt
honesto;pt
elevado;pt
divino;pt
discreto;pt
confiante;pt
aflito;pt
zangado;pt
tranquilo;pt
surpreendido;pt
preparado;pt
miúdo;pt
maldito;pt
judeu;pt
interno;pt
insignificante;pt
incrível;pt
excitado;pt
exacto;pt
esperto;pt
descalço;pt
casado;pt
ardente;pt
típico;pt
transparente;pt
sólido;pt
mero;pt
humilde;pt
doloroso;pt
aéreo;pt
autêntico;pt
urgente;pt
tenso;pt
surpreso;pt
sereno;pt
sensível;pt
querido;pt
fatal;pt
embaraçado;pt
ruim;pt
legal;pt
fundo;pt
contrário;pt
chato;pt
ausente;pt
tímido;pt
sinistro;pt
privado;pt
pensativo;pt
melancólico;pt
envergonhado;pt
denso;pt
definitivo;pt
considerável;pt
atrasado;pt
assustador;pt
artístico;pt
tremendo;pt
ruivo;pt
mole;pt
miserável;pt
irritante;pt
desconfiado;pt
adequado;pt
áspero;pt
trêmulo;pt
responsável;pt
nítido;pt
monstruoso;pt
manso;pt
fantástico;pt
essencial;pt
crescente;pt
científico;pt
bêbado;pt
amargo;pt
aliviado;pt
afastado;pt
telefónico;pt
romântico;pt
espiritual;pt
cristão;pt
brusco;pt
apressado;pt
remoto;pt
insuportável;pt
inicial;pt
grosseiro;pt
dramático;pt
decente;pt
admirável;pt
acordado;pt
sossegado;pt
solteiro;pt
singular;pt
rouco;pt
nocturno;pt
loiro;pt
judaico;pt
irlandês;pt
indignado;pt
histórico;pt
gracioso;pt
admirado;pt
supremo;pt
solto;pt
internacional;pt
europeu;pt
deprimido;pt
brasileiro;pt
atraente;pt
animado;pt
viúvo;pt
ténue;pt
terno;pt
tamanho;pt
ruidoso;pt
relativo;pt
penetrante;pt
ordinário;pt
numeroso;pt
japonês;pt
inúmero;pt
interminável;pt
ilustre;pt
hesitante;pt
gentil;pt
feroz;pt
barbudo;pt
apaixonado;pt
académico;pt
aborrecido;pt
tranqüilo;pt
tradicional;pt
popular;pt
perturbado;pt
oficial;pt
limpo;pt
inevitável;pt
grisalho;pt
extremo;pt
desajeitado;pt
complexo;pt
artificial;pt
abatido;pt
virgem;pt
valioso;pt
sensato;pt
risonho;pt
piedoso;pt
morno;pt
metálico;pt
incerto;pt
idêntico;pt
grego;pt
gigantesco;pt
fiel;pt
excitante;pt
esguio;pt
célebre;pt
apertado;pt
vizinho;pt
vacilante;pt
universal;pt
saudável;pt
repleto;pt
perpétuo;pt
pardo;pt
ofegante;pt
mútuo;pt
lustroso;pt
isolado;pt
inchado;pt
gasto;pt
formal;pt
fascinado;pt
exausto;pt
escasso;pt
dito;pt
distraído;pt
desportivo;pt
contínuo;pt
competente;pt
clássico;pt
civil;pt
adulto;pt
adormecido;pt
técnico;pt
suspeito;pt
sensual;pt
rigoroso;pt
notável;pt
irregular;pt
idoso;pt
excessivo;pt
exato;pt
espantoso;pt
