City;hasIBGECode
Afonso Cláudio;3200102
Água Doce do Norte;3200136
Águia Branca;3200169
Alegre;3200201
Alfredo Chaves;3200300
Alto Rio Novo;3200359
Anchieta;3200409
Apiacá;3200508
Aracruz;3200607
Atílio Vivácqua;3200706
Baixo Guandu;3200805
Barra de São Francisco;3200904
Boa Esperança;3201001
Bom Jesus do Norte;3201100
Brejetuba;3201159
Cachoeiro de Itapemirim;3201209
Cariacica;3201308
Castelo;3201407
Colatina;3201506
Conceição da Barra;3201605
Conceição do Castelo;3201704
Divino de São Lourenço;3201803
Domingos Martins;3201902
Dores do Rio Preto;3202009
Ecoporanga;3202108
Fundão;3202207
Governador Lindenberg;3202256
Guaçuí;3202306
Guarapari;3202405
Ibatiba;3202454
Ibiraçu;3202504
Ibitirama;3202553
Iconha;3202603
Irupi;3202652
Itaguaçu;3202702
Itapemirim;3202801
Itarana;3202900
Iúna;3203007
Jaguaré;3203056
Jerônimo Monteiro;3203106
João Neiva;3203130
Laranja da Terra;3203163
Linhares;3203205
Mantenópolis;3203304
Marataízes;3203320
Marechal Floriano;3203346
Marilândia;3203353
Mimoso do Sul;3203403
Montanha;3203502
Mucurici;3203601
Muniz Freire;3203700
Muqui;3203809
Nova Venécia;3203908
Pancas;3204005
Pedro Canário;3204054
Pinheiros;3204104
Piúma;3204203
Ponto Belo;3204252
Presidente Kennedy;3204302
Rio Bananal;3204351
Rio Novo do Sul;3204401
Santa Leopoldina;3204500
Santa Maria de Jetibá;3204559
Santa Teresa;3204609
São Domingos do Norte;3204658
São Gabriel da Palha;3204708
São José do Calçado;3204807
São Mateus;3204906
São Roque do Canaã;3204955
Serra;3205002
Sooretama;3205010
Vargem Alta;3205036
Venda Nova do Imigrante;3205069
Viana;3205101
Vila Pavão;3205150
Vila Valério;3205176
Vila Velha;3205200
Vitória;3205309
