City;hasIBGECode
Aceguá;4300034
Água Santa;4300059
Agudo;4300109
Ajuricaba;4300208
Alecrim;4300307
Alegrete;4300406
Alegria;4300455
Almirante Tamandaré do Sul;4300471
Alpestre;4300505
Alto Alegre;4300554
Alto Feliz;4300570
Alvorada;4300604
Amaral Ferrador;4300638
Ametista do Sul;4300646
André da Rocha;4300661
Anta Gorda;4300703
Antônio Prado;4300802
Arambaré;4300851
Araricá;4300877
Aratiba;4300901
Arroio do Meio;4301008
Arroio do Padre;4301073
Arroio do Sal;4301057
Arroio do Tigre;4301206
Arroio dos Ratos;4301107
Arroio Grande;4301305
Arvorezinha;4301404
Augusto Pestana;4301503
Áurea;4301552
Bagé;4301602
Balneário Pinhal;4301636
Barão;4301651
Barão de Cotegipe;4301701
Barão do Triunfo;4301750
Barra do Guarita;4301859
Barra do Quaraí;4301875
Barra do Ribeiro;4301909
Barra do Rio Azul;4301925
Barra Funda;4301958
Barracão;4301800
Barros Cassal;4302006
Benjamin Constant do Sul;4302055
Bento Gonçalves;4302105
Boa Vista das Missões;4302154
Boa Vista do Buricá;4302204
Boa Vista do Cadeado;4302220
Boa Vista do Incra;4302238
Boa Vista do Sul;4302253
Bom Jesus;4302303
Bom Princípio;4302352
Bom Progresso;4302378
Bom Retiro do Sul;4302402
Boqueirão do Leão;4302451
Bossoroca;4302501
Bozano;4302584
Braga;4302600
Brochier;4302659
Butiá;4302709
Caçapava do Sul;4302808
Cacequi;4302907
Cachoeira do Sul;4303004
Cachoeirinha;4303103
Cacique Doble;4303202
Caibaté;4303301
Caiçara;4303400
Camaquã;4303509
Camargo;4303558
Cambará do Sul;4303608
Campestre da Serra;4303673
Campina das Missões;4303707
Campinas do Sul;4303806
Campo Bom;4303905
Campo Novo;4304002
Campos Borges;4304101
Candelária;4304200
Cândido Godói;4304309
Candiota;4304358
Canela;4304408
Canguçu;4304507
Canoas;4304606
Canudos do Vale;4304614
Capão Bonito do Sul;4304622
Capão da Canoa;4304630
Capão do Cipó;4304655
Capão do Leão;4304663
Capela de Santana;4304689
Capitão;4304697
Capivari do Sul;4304671
Caraá;4304713
Carazinho;4304705
Carlos Barbosa;4304804
Carlos Gomes;4304853
Casca;4304903
Caseiros;4304952
Catuípe;4305009
Caxias do Sul;4305108
Centenário;4305116
Cerrito;4305124
Cerro Branco;4305132
Cerro Grande do Sul;4305157
Cerro Grande;4305173
Cerro Largo;4305207
Chapada;4305306
Charqueadas;4305355
Charrua;4305371
Chiapetta;4305405
Chuí;4305439
Chuvisca;4305447
Cidreira;4305454
Ciríaco;4305504
Colinas;4305587
Colorado;4305603
Condor;4305702
Constantina;4305801
Coqueiro Baixo;4305835
Coqueiros do Sul;4305850
Coronel Barros;4305871
Coronel Bicaco;4305900
Coronel Pilar;4305934
Cotiporã;4305959
Coxilha;4305975
Crissiumal;4306007
Cristal;4306056
Cristal do Sul;4306072
Cruz Alta;4306106
Cruzaltense;4306130
Cruzeiro do Sul;4306205
David Canabarro;4306304
Derrubadas;4306320
Dezesseis de Novembro;4306353
Dilermando de Aguiar;4306379
Dois Irmãos das Missões;4306403
Dois Irmãos;4306429
Dois Lajeados;4306452
Dom Feliciano;4306502
Dom Pedrito;4306601
Dom Pedro de Alcântara;4306551
Dona Francisca;4306700
Doutor Maurício Cardoso;4306734
Doutor Ricardo;4306759
Eldorado do Sul;4306767
Encantado;4306809
Encruzilhada do Sul;4306908
Engenho Velho;4306924
Entre Rios do Sul;4306957
Entre-Ijuís;4306932
Erebango;4306973
Erechim;4307005
Ernestina;4307054
Erval Grande;4307203
Erval Seco;4307302
Esmeralda;4307401
Esperança do Sul;4307450
Espumoso;4307500
Estação;4307559
Estância Velha;4307609
Esteio;4307708
Estrela;4307807
Estrela Velha;4307815
Eugênio de Castro;4307831
Fagundes Varela;4307864
Farroupilha;4307906
Faxinal do Soturno;4308003
Faxinalzinho;4308052
Fazenda Vilanova;4308078
Feliz;4308102
Flores da Cunha;4308201
Floriano Peixoto;4308250
Fontoura Xavier;4308300
Formigueiro;4308409
Forquetinha;4308433
Fortaleza dos Valos;4308458
Frederico Westphalen;4308508
Garibaldi;4308607
Garruchos;4308656
Gaurama;4308706
General Câmara;4308805
Gentil;4308854
Getúlio Vargas;4308904
Giruá;4309001
Glorinha;4309050
Gramado dos Loureiros;4309100
Gramado Xavier;4309126
Gramado;4309159
Gravataí;4309209
Guabiju;4309258
Guaíba;4309308
Guaporé;4309407
Guarani das Missões;4309506
Harmonia;4309555
Herval;4307104
Herveiras;4309571
Horizontina;4309605
Hulha Negra;4309654
Humaitá;4309704
Ibarama;4309753
Ibiaçá;4309803
Ibiraiaras;4309902
Ibirapuitã;4309951
Ibirubá;4310009
Igrejinha;4310108
Ijuí;4310207
Ilópolis;4310306
Imbé;4310330
Imigrante;4310363
Independência;4310405
Inhacorá;4310413
Ipê;4310439
Ipiranga do Sul;4310462
Iraí;4310504
Itaara;4310538
Itacurubi;4310553
Itapuca;4310579
Itaqui;4310603
Itati;4310652
Itatiba do Sul;4310702
Ivorá;4310751
Ivoti;4310801
Jaboticaba;4310850
Jacuizinho;4310876
Jacutinga;4310900
Jaguarão;4311007
Jaguari;4311106
Jaquirana;4311122
Jari;4311130
Jóia;4311155
Júlio de Castilhos;4311205
Lagoa Bonita do Sul;4311239
Lagoa dos Três Cantos;4311270
Lagoa Vermelha;4311304
Lagoão;4311254
Lajeado;4311403
Lajeado do Bugre;4311429
Lavras do Sul;4311502
Liberato Salzano;4311601
Lindolfo Collor;4311627
Linha Nova;4311643
Maçambará;4311718
Machadinho;4311700
Mampituba;4311734
Manoel Viana;4311759
Maquiné;4311775
Maratá;4311791
Marau;4311809
Marcelino Ramos;4311908
Mariana Pimentel;4311981
Mariano Moro;4312005
Marques de Souza;4312054
Mata;4312104
Mato Castelhano;4312138
Mato Leitão;4312153
Mato Queimado;4312179
Maximiliano de Almeida;4312203
Minas do Leão;4312252
Miraguaí;4312302
Montauri;4312351
Monte Alegre dos Campos;4312377
Monte Belo do Sul;4312385
Montenegro;4312401
Mormaço;4312427
Morrinhos do Sul;4312443
Morro Redondo;4312450
Morro Reuter;4312476
Mostardas;4312500
Muçum;4312609
Muitos Capões;4312617
Muliterno;4312625
Não-Me-Toque;4312658
Nicolau Vergueiro;4312674
Nonoai;4312708
Nova Alvorada;4312757
Nova Araçá;4312807
Nova Bassano;4312906
Nova Boa Vista;4312955
Nova Bréscia;4313003
Nova Candelária;4313011
Nova Esperança do Sul;4313037
Nova Hartz;4313060
Nova Pádua;4313086
Nova Palma;4313102
Nova Petrópolis;4313201
Nova Prata;4313300
Nova Ramada;4313334
Nova Roma do Sul;4313359
Nova Santa Rita;4313375
Novo Barreiro;4313490
Novo Cabrais;4313391
Novo Hamburgo;4313409
Novo Machado;4313425
Novo Tiradentes;4313441
Novo Xingu;4313466
Osório;4313508
Paim Filho;4313607
Palmares do Sul;4313656
Palmeira das Missões;4313706
Palmitinho;4313805
Panambi;4313904
Pantano Grande;4313953
Paraí;4314001
Paraíso do Sul;4314027
Pareci Novo;4314035
Parobé;4314050
Passa-Sete;4314068
Passo do Sobrado;4314076
Passo Fundo;4314100
Paulo Bento;4314134
Paverama;4314159
Pedras Altas;4314175
Pedro Osório;4314209
Pejuçara;4314308
Pelotas;4314407
Picada Café;4314423
Pinhal;4314456
Pinhal da Serra;4314464
Pinhal Grande;4314472
Pinheirinho do Vale;4314498
Pinheiro Machado;4314506
Pinto Bandeira;4314548
Pirapó;4314555
Piratini;4314605
Planalto;4314704
Poço das Antas;4314753
Pontão;4314779
Ponte Preta;4314787
Portão;4314803
Porto Alegre;4314902
Porto Lucena;4315008
Porto Mauá;4315057
Porto Vera Cruz;4315073
Porto Xavier;4315107
Pouso Novo;4315131
Presidente Lucena;4315149
Progresso;4315156
Protásio Alves;4315172
Putinga;4315206
Quaraí;4315305
Quatro Irmãos;4315313
Quevedos;4315321
Quinze de Novembro;4315354
Redentora;4315404
Relvado;4315453
Restinga Sêca;4315503
Rio dos Índios;4315552
Rio Grande;4315602
Rio Pardo;4315701
Riozinho;4315750
Roca Sales;4315800
Rodeio Bonito;4315909
Rolador;4315958
Rolante;4316006
Ronda Alta;4316105
Rondinha;4316204
Roque Gonzales;4316303
Rosário do Sul;4316402
Sagrada Família;4316428
Saldanha Marinho;4316436
Salto do Jacuí;4316451
Salvador das Missões;4316477
Salvador do Sul;4316501
Sananduva;4316600
Santa Bárbara do Sul;4316709
Santa Cecília do Sul;4316733
Santa Clara do Sul;4316758
Santa Cruz do Sul;4316808
Santa Margarida do Sul;4316972
Santa Maria;4316907
Santa Maria do Herval;4316956
Santa Rosa;4317202
Santa Tereza;4317251
Santa Vitória do Palmar;4317301
Santana da Boa Vista;4317004
Sant'Ana do Livramento;4317103
Santiago;4317400
Santo Ângelo;4317509
Santo Antônio da Patrulha;4317608
Santo Antônio das Missões;4317707
Santo Antônio do Palma;4317558
Santo Antônio do Planalto;4317756
Santo Augusto;4317806
Santo Cristo;4317905
Santo Expedito do Sul;4317954
São Borja;4318002
São Domingos do Sul;4318051
São Francisco de Assis;4318101
São Francisco de Paula;4318200
São Gabriel;4318309
São Jerônimo;4318408
São João da Urtiga;4318424
São João do Polêsine;4318432
São Jorge;4318440
São José das Missões;4318457
São José do Herval;4318465
São José do Hortêncio;4318481
São José do Inhacorá;4318499
São José do Norte;4318507
São José do Ouro;4318606
São José do Sul;4318614
São José dos Ausentes;4318622
São Leopoldo;4318705
São Lourenço do Sul;4318804
São Luiz Gonzaga;4318903
São Marcos;4319000
São Martinho;4319109
São Martinho da Serra;4319125
São Miguel das Missões;4319158
São Nicolau;4319208
São Paulo das Missões;4319307
São Pedro da Serra;4319356
São Pedro das Missões;4319364
São Pedro do Butiá;4319372
São Pedro do Sul;4319406
São Sebastião do Caí;4319505
São Sepé;4319604
São Valentim;4319703
São Valentim do Sul;4319711
São Valério do Sul;4319737
São Vendelino;4319752
São Vicente do Sul;4319802
Sapiranga;4319901
Sapucaia do Sul;4320008
Sarandi;4320107
Seberi;4320206
Sede Nova;4320230
Segredo;4320263
Selbach;4320305
Senador Salgado Filho;4320321
Sentinela do Sul;4320354
Serafina Corrêa;4320404
Sério;4320453
Sertão;4320503
Sertão Santana;4320552
Sete de Setembro;4320578
Severiano de Almeida;4320602
Silveira Martins;4320651
Sinimbu;4320677
Sobradinho;4320701
Soledade;4320800
Tabaí;4320859
Tapejara;4320909
Tapera;4321006
Tapes;4321105
Taquara;4321204
Taquari;4321303
Taquaruçu do Sul;4321329
Tavares;4321352
Tenente Portela;4321402
Terra de Areia;4321436
Teutônia;4321451
Tio Hugo;4321469
Tiradentes do Sul;4321477
Toropi;4321493
Torres;4321501
Tramandaí;4321600
Travesseiro;4321626
Três Arroios;4321634
Três Cachoeiras;4321667
Três Coroas;4321709
Três de Maio;4321808
Três Forquilhas;4321832
Três Palmeiras;4321857
Três Passos;4321907
Trindade do Sul;4321956
Triunfo;4322004
Tucunduva;4322103
Tunas;4322152
Tupanci do Sul;4322186
Tupanciretã;4322202
Tupandi;4322251
Tuparendi;4322301
Turuçu;4322327
Ubiretama;4322343
União da Serra;4322350
Unistalda;4322376
Uruguaiana;4322400
Vacaria;4322509
Vale do Sol;4322533
Vale Real;4322541
Vale Verde;4322525
Vanini;4322558
Venâncio Aires;4322608
Vera Cruz;4322707
Veranópolis;4322806
Vespasiano Corrêa;4322855
Viadutos;4322905
Viamão;4323002
Vicente Dutra;4323101
Victor Graeff;4323200
Vila Flores;4323309
Vila Lângaro;4323358
Vila Maria;4323408
Vila Nova do Sul;4323457
Vista Alegre do Prata;4323507
Vista Alegre;4323606
Vista Gaúcha;4323705
Vitória das Missões;4323754
Westfália;4323770
Xangri-lá;4323804
