prefLabel,hasPopulation,hasUpdate
China,1411780000,2021
Índia,1380004385,2020
Estados Unidos,331449281,2020
Indonésia,273523615,2020
Paquistão,220892340,2020
Brasil,211755692,2020
Nigéria,206139589,2020
Bangladesh,164689383,2020
Rússia,145934462,2020
México,128932753,2020
Japão,126476461,2020
Etiópia,114963588,2020
Filipinas,109581078,2020
Egito,102334404,2020
Vietname,97338579,2020
República Democrática do Congo,89561403,2020
Turquia,84339067,2020
Irã,83992949,2020
Alemanha,83783942,2020
Tailândia,69799978,2020
Reino Unido,67886011,2020
França,65273511,2020
Itália,60461826,2020
Tanzânia,59734218,2020
África do Sul,59308690,2020
Myanmar,54409800,2020
Quénia,53771296,2020
Coreia do Sul,51269185,2020
Colômbia,50882891,2020
Espanha,46754778,2020
Uganda,45741007,2020
Argentina,45195774,2020
Argélia,43851044,2020
Sudão,43849260,2020
Ucrânia,43733762,2020
Iraque,40222493,2020
Afeganistão,38928346,2020
Polónia,37846611,2020
Canadá,37742154,2020
Marrocos,36910560,2020
Arábia Saudita,34813871,2020
Uzbequistão,33469203,2020
Peru,32971854,2020
Angola,32866272,2020
Malásia,32365999,2020
Moçambique,31255435,2020
Gana,31072940,2020
Iémen,29825968,2020
Nepal,29136808,2020
Venezuela,28435940,2020
Madagascar,27691018,2020
Camarões,26545864,2020
Costa do Marfim,26378274,2020
Coreia do Norte,25778816,2020
Austrália,25499884,2020
Níger,24206644,2020
Taiwan,23816775,2020
Sri Lanka,21413249,2020
Burquina Fasso,20903273,2020
Mali,20250833,2020
Roménia,19237691,2020
Malawi,19129952,2020
Chile,19116201,2020
Cazaquistão,18776707,2020
Zâmbia,18383955,2020
Guatemala,17915568,2020
Equador,17643054,2020
Síria,17500657,2020
Países Baixos,17134872,2020
Senegal,16743927,2020
Camboja,16718965,2020
Chade,16425864,2020
Somália,15893222,2020
Zimbabwe,14862924,2020
Guiné,13132795,2020
Ruanda,12952218,2020
Benim,12123000,2020
Burundi,11890784,2020
Tunísia,11818619,2020
Bolívia,11673021,2020
Bélgica,11589623,2020
Haiti,11402528,2020
Cuba,11326616,2020
Sudão do Sul,11193725,2020
República Dominicana,10847910,2020
Chéquia,10708981,2020
Grécia,10423054,2020
Jordânia,10203134,2020
Portugal,10196709,2020
Azerbaijão,10139177,2020
Suécia,10099265,2020
Honduras,9904607,2020
Emirados Árabes Unidos,9890402,2020
Hungria,9660351,2020
Tajiquistão,9537645,2020
Bielorrússia,9449323,2020
Áustria,9006398,2020
Papua-Nova Guiné,8947024,2020
Israel,8655535,2020
Suíça,8654622,2020
Togo,8278724,2020
Serra Leoa,7976983,2020
Hong Kong (China),7496981,2020
Laos,7275560,2020
Paraguai,7132538,2020
Bulgária,6948445,2020
Sérvia,6926705,2020
Líbia,6871292,2020
Líbano,6825445,2020
Nicarágua,6624554,2020
Quirguistão,6524195,2020
El Salvador,6486205,2020
Turquemenistão,6031200,2020
Singapura,5850342,2020
Dinamarca,5792202,2020
Finlândia,5540720,2020
Congo,5518087,2020
Eslováquia,5459642,2020
Noruega,5421241,2020
Oman,5106626,2020
Palestina,5101414,2020
Costa Rica,5094118,2020
Libéria,5057681,2020
Irlanda,4937786,2020
República Centro-Africana,4829767,2020
Nova Zelândia,4822233,2020
Mauritânia,4649658,2020
Panamá,4314767,2020
Kuwait,4270571,2020
Croácia,4105267,2020
Geórgia,3989167,2020
Eritreia,3546421,2020
Uruguai,3473730,2020
Bósnia e Herzegovina,3280819,2020
Mongólia,3278290,2020
Arménia,2963243,2020
Jamaica,2961167,2020
Catar,2881053,2020
Albânia,2877797,2020
Porto Rico (Estados Unidos),2860853,2020
Lituânia,2722289,2020
Moldávia,2640438,2020
Namíbia,2540905,2020
Gâmbia,2416668,2020
Botswana,2351627,2020
Gabão,2225734,2020
Lesoto,2142249,2020
Macedônia do Norte,2083374,2020
Eslovénia,2078938,2020
Guiné-Bissau,1968001,2020
Letónia,1886198,2020
Kosovo,1795666,2020
Bahrein,1701575,2020
Guiné Equatorial,1402985,2020
Trinidad e Tobago,1399488,2020
Estónia,1326335,2020
Timor-Leste,1318445,2020
Maurícia,1271768,2020
Eswatini,1160164,2020
Djibouti,988000,2020
Chipre,900432,2020
Fiji,896445,2020
Reunião (França),895312,2020
Comores,869601,2020
Guiana,786552,2020
Butão,771608,2020
Ilhas Salomão,686884,2020
Macau (China),649335,2020
Montenegro,649335,2020
Luxemburgo,625978,2020
Saara Ocidental (Marrocos),597339,2019
Suriname,586632,2020
Cabo Verde,555987,2020
Maldivas,540544,2020
Malta,441543,2020
Transnístria (Moldávia),469000,2020
Brunei,437479,2020
Guadalupe (França),400124,2020
Belize,397628,2020
Bahamas,393244,2020
Martinica (França),375265,2020
República Turca de Chipre do Norte (Chipre),351965,2020
Islândia,341243,2020
Vanuatu,307145,2020
Guiana Francesa (França),298682,2020
Barbados,287375,2020
